"","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04"
"Smp_080980",4,4,4,2,6,16,0,4
"Smp_082030",0,0,4,2,2,4,0,4
"Smp_082940",2,0,6,10,0,12,2,0
"Smp_083020",2,0,0,2,0,2,1,5
"Smp_083030",1,0,1,2,0,6,0,0
"Smp_083080",2,0,4,4,4,4,4,10
"Smp_083150",2,4,0,4,4,6,0,8
"Smp_083180",2,0,0,4,0,2,0,2
"Smp_083200",2,0,4,0,2,3,1,6
"Smp_083400",0,0,2,7,2,0,0,2
"Smp_083410",6,0,4,2,6,2,2,8
"Smp_083540",5,2,6,4,1,0,0,5
"Smp_083650",2,0,0,2,0,4,0,2
"Smp_083710",10,1,6,3,5,6,0,0
"Smp_083720",8,2,2,5,0,0,0,9
"Smp_084180",2,0,0,1,1,5,0,4
"Smp_084380",2,0,0,2,0,2,0,6
"Smp_084620",4,0,8,0,4,4,0,0
"Smp_084940",4,2,10,2,0,3,0,10
"Smp_085110",2,2,0,4,2,4,0,2
"Smp_085150",0,0,0,2,4,2,0,2
"Smp_085300",2,0,2,6,2,12,0,6
"Smp_085520",4,0,0,2,0,2,0,2
"Smp_085530",4,0,2,6,0,6,2,8
"Smp_085740",6,2,6,1,5,5,1,3
"Smp_085750",6,0,7,6,0,7,0,10
"Smp_086470",6,2,0,4,0,0,0,1
"Smp_086480",2,2,0,4,2,8,0,8
"Smp_086590",0,0,0,6,4,2,0,4
"Smp_087760",6,2,8,10,4,14,0,6
"Smp_087920",2,2,2,4,0,4,0,0
"Smp_087930",2,0,0,0,2,4,0,2
"Smp_087940",0,2,2,4,2,4,0,0
"Smp_089060",6,0,4,0,4,0,0,10
"Smp_089240",2,0,2,4,0,2,2,2
"Smp_089400",4,0,0,2,2,0,0,2
"Smp_089430",2,0,0,4,4,0,0,4
"Smp_089570",2,2,2,0,2,4,0,0
"Smp_089640",6,0,0,0,2,4,0,2
"Smp_089880",6,2,0,2,2,1,0,0
"Smp_090120",8,0,0,2,0,4,0,4
"Smp_090240",11,4,5,5,0,8,0,6
"Smp_090690",5,3,1,2,2,1,0,2
"Smp_090920",17,3,4,12,2,2,0,3
"Smp_090930",12,0,2,6,0,10,0,4
"Smp_091010",2,0,4,6,0,4,0,0
"Smp_091170",3,0,4,2,3,0,0,1
"Smp_091390",5,2,2,5,0,2,0,2
"Smp_091460",6,2,8,8,22,10,4,16
"Smp_091480",4,0,2,4,0,4,0,2
"Smp_091840",3,0,4,0,0,2,0,4
"Smp_092320",2,2,0,0,0,2,0,4
"Smp_092380",0,0,0,4,2,4,0,2
"Smp_092500",2,2,0,2,0,2,0,4
"Smp_092750",8,2,8,4,8,14,0,4
"Smp_092770",10,1,10,8,5,21,0,13
"Smp_092810",4,2,0,6,0,2,0,0
"Smp_092880",8,2,0,0,0,4,0,4
"Smp_093280",5,4,4,2,0,2,0,7
